Please enter a coupon code,Silakan masukkan kode kupon
Please enter a valid coupon code,Silakan masukkan kode kupon yang valid
Coupon code applied,Kode kupon berhasil digunakan
Invalid Coupon Code,Kode Kupon Tidak Valid
Not in Stock,Tidak tersedia
Only {0} in Stock for item {1},Hanya tersisa {0} untuk barang {1}
Checkout,Pembayaran
Cart,Keranjang
Shopping Cart,Keranjang Belanja
Item,Barang
Price,Harga
Quantity,Jumlah
Total,Total
Subtotal,Subtotal
Grand Total,Total Keseluruhan
Apply,Terapkan
Remove,Hapus
Update,Perbarui
Continue Shopping,Lanjut Belanja
Place Order,Buat Pesanan
Billing Address,Alamat Tagihan
Shipping Address,Alamat Pengiriman
Payment Method,Metode Pembayaran
Order Summary,Ringkasan Pesanan
My Account,Akun Saya
Orders,Pesanan
Wishlist,Daftar Keinginan
Login,Masuk
Logout,Keluar
Register,Daftar
Search,Cari
Filter,Filter
Sort By,Urutkan Berdasarkan
Description,Deskripsi
Review,Ulasan
Submit,Kirim
Cancel,Batal
Save,Simpan
Edit,Ubah
Delete,Hapus
Success,Berhasil
Error,Kesalahan
Warning,Peringatan
Message,Pesan
Password reset instructions have been sent to your email,Instruksi pengaturan ulang kata sandi telah dikirim ke email Anda
Mohon periksa email Anda untuk melanjutkan proses reset kata sandi,Mohon periksa email Anda untuk melanjutkan proses reset kata sandi
Return Request already exists for Sales Order {0},Permintaan Pengembalian sudah ada untuk Pesanan Penjualan {0}
Subscription End Date is mandatory when using Fixed Period subscription plan,Tanggal Berakhir Berlangganan wajib diisi saat menggunakan paket berlangganan Periode Tetap
Subscription End Date must be after Start Date,Tanggal Berakhir Berlangganan harus setelah Tanggal Mulai
Student Migration Failed,Migrasi Siswa Gagal
Virtual Account Payment,Pembayaran Akun Virtual
Products,Produk
Add to Cart,Tambah ke Keranjang
Buy Now,Beli Sekarang
Out of Stock,Stok Habis
In Stock,Tersedia
SKU,SKU
Category,Kategori
Tags,Tag
Related Products,Produk Terkait
Reviews,Ulasan
Write a Review,Tulis Ulasan
Rating,Peringkat
Submit Review,Kirim Ulasan
Please login to add to wishlist,Silakan masuk untuk menambah ke daftar keinginan
Added to wishlist,Ditambahkan ke daftar keinginan
Removed from wishlist,Dihapus dari daftar keinginan
Cart is empty,Keranjang kosong
Continue to Checkout,Lanjut ke Pembayaran
Order Confirmed,Pesanan Dikonfirmasi
Thank you for your order,Terima kasih atas pesanan Anda
Transaction Failed,Transaksi Gagal
Please try again,Silakan coba lagi
Return to Home,Kembali ke Beranda
Contact Us,Hubungi Kami
About Us,Tentang Kami
Terms and Conditions,Syarat dan Ketentuan
Privacy Policy,Kebijakan Privasi
Address,Alamat
Phone,Telepon
Email,Email
Name,Nama
Subject,Subjek
Products,Produk
Services,Layanan
Home,Beranda
Dashboard,Dasbor
Profile,Profil
Settings,Pengaturan
Help,Bantuan
Support,Dukungan
FAQ,FAQ
Blog,Blog
News,Berita
Events,Acara
Careers,Karir
Partners,Mitra
Team,Tim
History,Riwayat
Notifications,Notifikasi
Messages,Pesan
Active,Aktif
Inactive,Tidak Aktif
Pending,Menunggu
Completed,Selesai
Cancelled,Dibatalkan
Returned,Dikembalikan
Refunded,Dikembalikan Dananya
Shipped,Dikirim
Delivered,Diterima
Processing,Sedang Diproses
On Hold,Ditahan
Draft,Draf
Submitted,Dikirim
Approved,Disetujui
Rejected,Ditolak
Date,Tanggal
Status,Status
Action,Aksi
View,Lihat
Download,Unduh
Print,Cetak
Share,Bagikan
Copy,Salin
Paste,Tempel
Upload,Unggah
Image,Gambar
File,Berkas
Link,Tautan
Type,Tipe
Value,Nilai
Code,Kode
Group,Grup
Role,Peran
User,Pengguna
Customer,Pelanggan
Supplier,Pemasok
Employee,Karyawan
Student,Siswa
Teacher,Guru
Parent,Orang Tua
School,Sekolah
Class,Kelas
Grade,Nilai
Subject,Mata Pelajaran
Exam,Ujian
Result,Hasil
Report,Laporan
Certificate,Sertifikat
Fee,Biaya
Attendance,Kehadiran
Timetable,Jadwal
Library,Perpustakaan
Book,Buku
Author,Penulis
Publisher,Penerbit
Year,Tahun
Edition,Edisi
ISBN,ISBN
Call Number,Nomor Panggil
Rack,Rak
Row,Baris
Column,Kolom
Section,Bagian
Stock,Stok
Inventory,Inventaris
Warehouse,Gudang
Location,Lokasi
Bin,Bin
Batch,Batch
Serial No,Nomor Seri
Barcode,Barcode
QR Code,Kode QR
Manufacturer,Pabrikan
Brand,Merek
Model,Model
Color,Warna
Size,Ukuran
Weight,Berat
Volume,Volume
Dimension,Dimensi
Material,Bahan
Style,Gaya
Feature,Fitur
Specification,Spesifikasi
Warranty,Garansi
Guarantee,Jaminan
Return Policy,Kebijakan Pengembalian
Shipping Policy,Kebijakan Pengiriman
Payment Policy,Kebijakan Pembayaran
Exchange Policy,Kebijakan Penukaran
Refund Policy,Kebijakan Pengembalian Dana
Cancellation Policy,Kebijakan Pembatalan
Security Policy,Kebijakan Keamanan
Cookie Policy,Kebijakan Cookie
Sitemap,Peta Situs
RSS Feed,Umpan RSS
API,API
Developer,Pengembang
Documentation,Dokumentasi
Forum,Forum
Community,Komunitas
Marketplace,Pasar
App,Aplikasi
Extension,Ekstensi
Plugin,Plugin
Module,Modul
Theme,Tema
Design,Desain
Layout,Tata Letak
Template,Templat
Component,Komponen
Widget,Widget
Block,Blok
